hipblaslt-bench --api_method c -m 1152 -n 1318912 -k 384 --lda 384 --ldb 384 --ldc 1152 --ldd 1152  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331157 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1152 --ldd 1152  --stride_a 442368 --stride_b 384 --stride_c 1179648 --stride_d 1179648  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331137 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 1118208 -k 384 --lda 384 --ldb 384 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 1101824 -k 384 --lda 384 --ldb 384 --ldc 1536 --ldd 1536  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330985 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 1101824 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1536 --ldd 1536  --stride_a 589824 --stride_b 384 --stride_c 1572864 --stride_d 1572864  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331001 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 1024 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 589824 --stride_b 1572864 --stride_c 393216 --stride_d 393216  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331155 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 1101824 -k 384 --lda 384 --ldb 384 --ldc 1152 --ldd 1152  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331157 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1152 --ldd 1152  --stride_a 442368 --stride_b 384 --stride_c 1179648 --stride_d 1179648  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331137 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 901120 -k 384 --lda 384 --ldb 384 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 884736 -k 384 --lda 384 --ldb 384 --ldc 1536 --ldd 1536  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330985 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 884736 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1536 --ldd 1536  --stride_a 589824 --stride_b 384 --stride_c 1572864 --stride_d 1572864  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331001 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 1024 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 589824 --stride_b 1572864 --stride_c 393216 --stride_d 393216  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331155 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 884736 -k 384 --lda 384 --ldb 384 --ldc 1152 --ldd 1152  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331157 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1152 --ldd 1152  --stride_a 442368 --stride_b 384 --stride_c 1179648 --stride_d 1179648  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331137 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 684032 -k 384 --lda 384 --ldb 384 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 667648 -k 384 --lda 384 --ldb 384 --ldc 1536 --ldd 1536  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330985 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 667648 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1536 --ldd 1536  --stride_a 589824 --stride_b 384 --stride_c 1572864 --stride_d 1572864  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331001 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 1024 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 589824 --stride_b 1572864 --stride_c 393216 --stride_d 393216  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331155 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 667648 -k 384 --lda 384 --ldb 384 --ldc 1152 --ldd 1152  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331157 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1152 --ldd 1152  --stride_a 442368 --stride_b 384 --stride_c 1179648 --stride_d 1179648  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331137 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 466944 -k 384 --lda 384 --ldb 384 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 450560 -k 384 --lda 384 --ldb 384 --ldc 1536 --ldd 1536  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330985 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 450560 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1536 --ldd 1536  --stride_a 589824 --stride_b 384 --stride_c 1572864 --stride_d 1572864  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331001 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 1024 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 589824 --stride_b 1572864 --stride_c 393216 --stride_d 393216  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331155 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 450560 -k 384 --lda 384 --ldb 384 --ldc 1152 --ldd 1152  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331157 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1152 --ldd 1152  --stride_a 442368 --stride_b 384 --stride_c 1179648 --stride_d 1179648  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331137 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 249856 -k 384 --lda 384 --ldb 384 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330487 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 233472 -k 384 --lda 384 --ldb 384 --ldc 1536 --ldd 1536  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330985 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 233472 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 330643 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1536 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1536 --ldd 1536  --stride_a 589824 --stride_b 384 --stride_c 1572864 --stride_d 1572864  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331001 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 384 -n 1024 -k 1536 --lda 1536 --ldb 1536 --ldc 384 --ldd 384  --stride_a 589824 --stride_b 1572864 --stride_c 393216 --stride_d 393216  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331155 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 233472 -k 384 --lda 384 --ldb 384 --ldc 1152 --ldd 1152  --stride_a 0 --stride_b 0 --stride_c 0 --stride_d 0  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 1 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331157 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
hipblaslt-bench --api_method c -m 1152 -n 1024 -k 384 --lda 384 --ldb 6144 --ldc 1152 --ldd 1152  --stride_a 442368 --stride_b 384 --stride_c 1179648 --stride_d 1179648  --alpha 1.000000 --beta 0.000000 --transA T --transB N --batch_count 16 --scaleA 0 --scaleB 0  --a_type bf16_r --b_type bf16_r --c_type bf16_r --d_type bf16_r --scale_type f32_r --bias_type f32_r   --compute_type f32_r --algo_method index --solution_index 331137 --activation_type none --any_stride --rotating 0 --cold_iters 0 --iters 0 
